Name: 七彩戏剧, URL: http://z.b.bkpcp.top/m.php?id=qcxj$订阅源, Date: None, Delay: 21 ms, Speed: 82.03 M/s, Resolution: 1920x1080
Name: 七彩戏剧, URL: http://139.196.151.191:2051/rtp/239.45.3.61:5140$上海电信组播源, Date: 2024-03-01, Delay: 230 ms, Speed: 0.12 M/s, Resolution: None
Name: 上海外语, URL: http://139.196.151.191:2051/rtp/239.45.1.127:5140$组播源, Date: None, Delay: 230 ms, Speed: 0.12 M/s, Resolution: None
Name: 上海都市, URL: http://livetv.wqwqwq.sbs/itv/5000000010000018926.m3u8?cdn=bestzb$订阅源, Date: None, Delay: 9704 ms, Speed: 0.00 M/s, Resolution: None
Name: 上视外语, URL: http://139.196.151.191:2051/rtp/239.45.1.127:5140$上海电信组播源, Date: 2024-03-01, Delay: 230 ms, Speed: 0.12 M/s, Resolution: None
Name: 东方影视, URL: http://z.b.bkpcp.top/m.php?id=shys$订阅源, Date: None, Delay: 21 ms, Speed: 82.03 M/s, Resolution: 1920x1080
Name: 东方影视, URL: http://php.jdshipin.com:8880/itv6.php?cid=bestzb&id=5000000010000032212$订阅源, Date: None, Delay: 465 ms, Speed: 0.93 M/s, Resolution: 1920x1080
Name: 东方影视, URL: http://139.196.151.191:2051/rtp/239.45.3.237:5140$上海电信组播源, Date: 2024-03-01, Delay: 230 ms, Speed: 0.12 M/s, Resolution: None
Name: 东方财经, URL: http://php.jdshipin.com:8880/itv6.php?cid=bestzb&id=5000000007000010003$订阅源, Date: None, Delay: 465 ms, Speed: 0.93 M/s, Resolution: 1920x1080
Name: 东方财经, URL: http://139.196.151.191:2051/rtp/239.45.1.119:5140$上海电信组播源, Date: 2024-03-01, Delay: 230 ms, Speed: 0.12 M/s, Resolution: None
Name: 全纪实, URL: http://139.196.151.191:2051/rtp/239.45.3.135:5140$上海电信组播源, Date: 2024-03-01, Delay: 230 ms, Speed: 0.12 M/s, Resolution: None
Name: 动漫秀场, URL: http://139.196.151.191:2051/rtp/239.45.3.134:5140$上海电信组播源, Date: 2024-03-01, Delay: 230 ms, Speed: 0.12 M/s, Resolution: None
Name: 哈哈炫动, URL: http://61.138.128.226:19901/tsfile/live/1016_1.m3u8$订阅源, Date: None, Delay: 251 ms, Speed: 0.02 M/s, Resolution: 720x576
Name: 哈哈炫动, URL: http://php.jdshipin.com:8880/itv6.php?cid=bestzb&id=5000000011000031123$订阅源, Date: None, Delay: 465 ms, Speed: 0.93 M/s, Resolution: 1920x1080
Name: 哈哈炫动, URL: http://139.196.151.191:2051/rtp/239.45.1.55:5140$上海电信组播源, Date: 2024-03-01, Delay: 230 ms, Speed: 0.12 M/s, Resolution: None
Name: 哈哈炫动, URL: http://livetv.wqwqwq.sbs/itv/5000000011000031123.m3u8?cdn=bestzb$订阅源, Date: None, Delay: 9704 ms, Speed: 0.00 M/s, Resolution: None
Name: 哈哈炫动, URL: http://120.238.94.10:9901/tsfile/live/1037_1.m3u8$订阅源, Date: None, Delay: 1365 ms, Speed: 0.24 M/s, Resolution: None
Name: 嘉定电视台, URL: http://139.196.151.191:2051/rtp/239.45.3.185:5140$上海电信组播源, Date: 2024-03-01, Delay: 230 ms, Speed: 0.12 M/s, Resolution: None
Name: 崇明电视台, URL: https://pili-live-hls.wdit.com.cn/wditlive/c038f4fafbdf4f97ba74c74ad67259b931ee.m3u8$订阅源, Date: None, Delay: 23 ms, Speed: 0.02 M/s, Resolution: 1920x1080
Name: 新闻综合, URL: http://php.jdshipin.com:8880/itv6.php?cid=bestzb&id=5000000011000031110$订阅源, Date: None, Delay: 465 ms, Speed: 0.93 M/s, Resolution: 1920x1080
Name: 新闻综合, URL: http://139.196.151.191:2051/rtp/239.45.3.209:5140$上海电信组播源, Date: 2024-03-01, Delay: 230 ms, Speed: 0.12 M/s, Resolution: None
Name: 新闻综合, URL: http://livetv.wqwqwq.sbs/itv/5000000011000031110.m3u8?cdn=bestzb$订阅源, Date: None, Delay: 9704 ms, Speed: 0.00 M/s, Resolution: None
Name: 欢笑剧场, URL: http://139.196.151.191:2051/rtp/239.45.3.196:5140$上海电信组播源, Date: 2024-03-01, Delay: 230 ms, Speed: 0.12 M/s, Resolution: None
Name: 欢笑剧场, URL: http://139.196.151.191:2051/rtp/239.45.1.4:5140$上海电信组播源, Date: 2024-03-01, Delay: 230 ms, Speed: 0.12 M/s, Resolution: None
Name: 法治天地, URL: http://139.196.151.191:2051/rtp/239.45.1.46:5140$上海电信组播源, Date: 2024-03-01, Delay: 230 ms, Speed: 0.12 M/s, Resolution: None
Name: 生活时尚, URL: http://221.0.78.198:1681/hls/10275/index.m3u8$订阅源, Date: None, Delay: 972 ms, Speed: 0.00 M/s, Resolution: None
Name: 生活时尚, URL: http://139.196.151.191:2051/rtp/239.45.3.132:5140$上海电信组播源, Date: 2024-03-01, Delay: 230 ms, Speed: 0.12 M/s, Resolution: None
Name: 第一财经, URL: http://php.jdshipin.com:8880/itv6.php?cid=bestzb&id=5000000010000027146$订阅源, Date: None, Delay: 465 ms, Speed: 0.93 M/s, Resolution: 1920x1080
Name: 第一财经, URL: http://139.196.151.191:2051/rtp/239.45.3.211:5140$上海电信组播源, Date: 2024-03-01, Delay: 230 ms, Speed: 0.12 M/s, Resolution: None
Name: 第一财经, URL: http://livetv.wqwqwq.sbs/itv/5000000010000027146.m3u8?cdn=bestzb$订阅源, Date: None, Delay: 9704 ms, Speed: 0.00 M/s, Resolution: None
Name: 纪实人文, URL: http://139.196.151.191:2051/rtp/239.45.3.212:5140$上海电信组播源, Date: 2024-03-01, Delay: 230 ms, Speed: 0.12 M/s, Resolution: None
Name: 都市剧场, URL: http://139.196.151.191:2051/rtp/239.45.3.136:5140$上海电信组播源, Date: 2024-03-01, Delay: 230 ms, Speed: 0.12 M/s, Resolution: None
